id,created_at,position_id,position_name,name,hard_skills,soft_skills
25,,70000509,מנהל מחסן ממוחשב,WMS Warehouse Operations Lead,"[""WMS Systems"", ""Inventory Management"", ""Barcode Scanning""]","[""Time Management"", ""Leadership"", ""Reliability""]"
26,,70000509,מנהל מחסן ממוחשב,E-commerce Logistics Manager,"[""Order Fulfillment"", ""3PL Management"", ""Shipment Tracking""]","[""Customer Focus"", ""Adaptability"", ""Process Thinking""]"
27,,70000509,מנהל מחסן ממוחשב,Inventory & Supply Chain Lead,"[""Inventory Planning"", ""Supply Chain Basics"", ""Excel Reporting""]","[""Analytical Thinking"", ""Prioritization"", ""Cross-Team Work""]"
28,,70000510,קניין רכש טכני,IT Procurement Specialist,"[""IT Procurement"", ""Vendor Negotiation"", ""License Management""]","[""Negotiation"", ""Relationship Management"", ""Analytical Thinking""]"
29,,70000510,קניין רכש טכני,Engineering Procurement Specialist,"[""Technical Specs Reading"", ""Global Suppliers"", ""RFQs""]","[""Detail Orientation"", ""Persistence"", ""Collaboration""]"
30,,70000510,קניין רכש טכני,Services Procurement Lead,"[""Services Contracts"", ""SLAs"", ""Cost Benchmarking""]","[""Stakeholder Management"", ""Negotiation"", ""Communication""]"
31,,70000511,מהנדס מכונות,Mechanical Design Engineer – SolidWorks,"[""SolidWorks"", ""CAD"", ""Tolerance Design""]","[""Creativity"", ""Precision"", ""Problem Solving""]"
32,,70000511,מהנדס מכונות,Manufacturing Engineer – production lines,"[""Manufacturing Processes"", ""Lean Basics"", ""Work Instructions""]","[""Process Thinking"", ""Collaboration"", ""Continuous Improvement""]"
33,,70000511,מהנדס מכונות,Project Engineer – materials & integration,"[""Project Coordination"", ""BOMs"", ""Technical Documentation""]","[""Ownership"", ""Communication"", ""Time Management""]"
34,,70000512,מהנדס חשמל ובקרה,PLC Control Engineer – Siemens/AB,"[""PLC Programming"", ""Ladder Logic"", ""HMI Basics""]","[""Responsibility"", ""Detail Orientation"", ""Calm Under Pressure""]"
35,,70000512,מהנדס חשמל ובקרה,High Voltage Electrical Engineer,"[""Power Systems"", ""Safety Standards"", ""Protection Systems""]","[""Safety Awareness"", ""Responsibility"", ""Discipline""]"
36,,70000512,מהנדס חשמל ובקרה,Embedded RT Control Engineer,"[""Embedded C"", ""Real-Time Systems"", ""Microcontrollers""]","[""Persistence"", ""Problem Solving"", ""Debugging Mindset""]"
37,,70000513,מנהל תיקי לקוחות,Enterprise Account Manager,"[""Enterprise Sales Process"", ""CRM"", ""Contract Basics""]","[""Relationship Management"", ""Strategic Thinking"", ""Negotiation""]"
38,,70000513,מנהל תיקי לקוחות,SaaS Account Manager,"[""SaaS Metrics"", ""Renewals & Expansions"", ""Product Knowledge""]","[""Customer Success Mindset"", ""Listening"", ""Proactivity""]"
39,,70000513,מנהל תיקי לקוחות,SMB Account Manager,"[""High-Volume Account Handling"", ""Upsell Techniques""]","[""Rapport Building"", ""Resilience"", ""Multitasking""]"
40,,70000514,מנהלת משרד ועוזרת אישית,Executive PA – CEO Support,"[""Calendar Management"", ""Board Materials Prep"", ""Office Tools""]","[""Discretion"", ""Stress Management"", ""Prioritization""]"
41,,70000514,מנהלת משרד ועוזרת אישית,Office Operations Manager,"[""Vendor Management"", ""Office Operations"", ""Budget Tracking (Basics)""]","[""Organization"", ""Service Orientation"", ""Problem Solving""]"
42,,70000514,מנהלת משרד ועוזרת אישית,HR Admin & Employee Experience,"[""HRIS Basics"", ""Onboarding Processes"", ""Document Management""]","[""Empathy"", ""Attention to Detail"", ""Service Orientation""]"
43,,70000515,"עו""ד ומזכיר חברה",Corporate Secretary – Governance & Boards,"[""Corporate Governance"", ""Board Procedures"", ""Minutes Writing""]","[""Discretion"", ""Precision"", ""Responsibility""]"
44,,70000515,"עו""ד ומזכיר חברה",Commercial Lawyer – Contracts,"[""Contract Drafting"", ""Negotiation"", ""Commercial Law""]","[""Analytical Thinking"", ""Argumentation"", ""Detail Orientation""]"
45,,70000515,"עו""ד ומזכיר חברה",Labor Law Attorney – HR Support,"[""Labor Law"", ""HR Policies"", ""Case Handling""]","[""Empathy"", ""Conflict Management"", ""Resilience""]"
46,,70000516,בודק תוכנה ידני/אוטומציה,Manual QA – Functional & UAT,"[""Test Case Design"", ""Test Execution"", ""Bug Reporting""]","[""Curiosity"", ""Persistence"", ""Attention to Detail""]"
47,,70000516,בודק תוכנה ידני/אוטומציה,Automation QA – Selenium/Cypress,"[""Selenium"", ""Cypress"", ""Test Automation Frameworks"", ""Basic Programming""]","[""Problem Solving"", ""System Thinking"", ""Quality Mindset""]"
48,,70000516,בודק תוכנה ידני/אוטומציה,Product QA – customer experience,"[""User Scenarios"", ""Acceptance Testing"", ""UX Awareness""]","[""Empathy"", ""Communication"", ""Customer Focus""]"
49,,70000517,חשב שכר בכיר,Private Sector Payroll Expert,"[""Payroll Systems"", ""Labor Law"", ""Tax Rules"", ""Excel""]","[""Discretion"", ""Accuracy"", ""Time Management""]"
50,,70000517,חשב שכר בכיר,Public Sector Payroll Specialist,"[""Collective Agreements"", ""Public Sector Payroll Rules""]","[""Patience"", ""Detail Orientation"", ""Reliability""]"
51,,70000517,חשב שכר בכיר,Tech Payroll & HRIS Specialist,"[""HRIS Systems"", ""Payroll-Systems Integration"", ""Reports""]","[""Tech Savvy"", ""Analytical Thinking"", ""Collaboration""]"
52,,70000518,"מהנדס או""ש (שיטות)",Process Analyst – BPMN Mapping,"[""Process Mapping"", ""BPMN"", ""Workshops Facilitation""]","[""System Thinking"", ""Facilitation"", ""Listening""]"
53,,70000518,"מהנדס או""ש (שיטות)",Continuous Improvement Project Lead,"[""Lean"", ""Kaizen"", ""Root Cause Analysis""]","[""Change Agent Mindset"", ""Persistence"", ""Influencing""]"
54,,70000518,"מהנדס או""ש (שיטות)",Industrial Engineer – production optimization,"[""Capacity Planning"", ""Data Analysis"", ""Simulation (Basics)""]","[""Analytical Thinking"", ""Problem Solving"", ""Collaboration""]"
55,,70000519,מעצב UX/UI,UX Research Specialist,"[""User Interviews"", ""Usability Testing"", ""Personas"", ""Journey Mapping""]","[""Empathy"", ""Curiosity"", ""Synthesis""]"
56,,70000519,מעצב UX/UI,UI Designer – Design System,"[""Figma"", ""Design Systems"", ""Typography"", ""Visual Design""]","[""Attention to Detail"", ""Creativity"", ""Consistency""]"
57,,70000519,מעצב UX/UI,Product Designer – E2E flows,"[""UX Flows"", ""Prototyping"", ""Stakeholder Workshops""]","[""Collaboration"", ""Product Thinking"", ""Communication""]"
58,,70000520,מנהל צוות שירות,Call Center Team Lead – SLA Focus,"[""Call Center KPIs"", ""WFM Basics"", ""QA Coaching""]","[""Leadership"", ""Coaching"", ""Conflict Management""]"
59,,70000520,מנהל צוות שירות,Technical Support Team Lead,"[""Support Processes"", ""Knowledge Base Management"", ""Escalation Handling""]","[""Leadership"", ""Customer Focus"", ""Calm Under Pressure""]"
60,,70000520,מנהל צוות שירות,Customer Experience Leader (VoC),"[""Customer Journey Mapping"", ""NPS/CES Basics"", ""Feedback Analysis""]","[""Empathy"", ""Storytelling"", ""Influencing without Authority""]"
