id,created_at,position_id,position_name,name,hard_skills,soft_skills
11,,70000504,רכזת גיוס טכנולוגי,"Cyber Recruiter – SOC, DFIR","[""Talent Acquisition"", ""Interview Management"", ""Job Profiling"", ""Threat Analysis""]","[""תפקוד בין אישי"", ""תקשורת"", ""ניהול ממשקים"", ""למידה וחשיבה"", ""חוסן""]"
12,,70000504,רכזת גיוס טכנולוגי,Data Recruiting Specialist,"[""Talent Acquisition"", ""Interview Management"", ""Job Profiling""]","[""תפקוד בין אישי"", ""תקשורת"", ""ניהול ממשקים"", ""אנליטיקה""]"
13,,70000505,כלכלן תקציב ובקרה,FP&A Economist – forecasts & models,"[""Budgeting & Financial Control"", ""Data Analysis"", ""Excel Advanced""]","[""אנליטיקה"", ""מקצועיות"", ""תכנון וראיה אינטגרטיבית""]"
14,,70000505,כלכלן תקציב ובקרה,Budget Control Analyst – monthly tracking,"[""Budgeting & Financial Control"", ""Data Analysis"", ""Excel Advanced""]","[""אנליטיקה"", ""מקצועיות""]"
15,,70000505,כלכלן תקציב ובקרה,Cost Accountant – product pricing,"[""Budgeting & Financial Control"", ""Data Analysis"", ""Excel Advanced""]","[""אנליטיקה"", ""מקצועיות"", ""למידה וחשיבה"", ""הובלה לתוצאות""]"
16,,70000506,מנהל שיווק דיגיטלי,Performance PPC Manager,"[""Copywriting"", ""Customer Service Operations"", ""Excel""]","[""יצירתיות"", ""צוות""]"
17,,70000506,מנהל שיווק דיגיטלי,Growth Marketer – CRO & Funnels,"[""Copywriting"", ""Customer Service Operations"", ""Excel"", ""Data Analysis""]","[""יצירתיות"", ""צוות"", ""למידה וחשיבה""]"
18,,70000506,מנהל שיווק דיגיטלי,Social Media & Community Lead,"[""Copywriting"", ""Customer Service Operations"", ""Excel"", ""Digital Content Production""]","[""יצירתיות"", ""צוות"", ""תפקוד בין אישי""]"
19,,70000507,איש System / IT,Windows/AD/Exchange Specialist,"[""Backend Development"", ""Network Fundamentals"", ""Cloud Computing Foundations"", ""Virtualization""]","[""תפקוד בין אישי"", ""למידה וחשיבה""]"
20,,70000507,איש System / IT,Linux + Networking Engineer,"[""Backend Development"", ""Network Fundamentals"", ""Cloud Computing Foundations"", ""Virtualization""]","[""תפקוד בין אישי"", ""למידה וחשיבה"", ""למידה עצמית""]"
21,,70000507,איש System / IT,Tier2/3 IT Support Specialist,"[""Backend Development"", ""Network Fundamentals"", ""Cloud Computing Foundations"", ""Virtualization"", ""Customer Service Operations"", ""Business Operations""]","[""תפקוד בין אישי"", ""למידה וחשיבה"", ""תקשורת""]"
22,,70000508,מיישם סייבר,Network Security Implementer,"[""Cyber Defense Fundamentals"", ""Information Security"", ""Incident Response"", ""Cloud Security"", ""Network Fundamentals""]","[""חוסן"", ""מקצועיות""]"
23,,70000508,מיישם סייבר,Cloud Security Implementer (AWS/GCP),"[""Cyber Defense Fundamentals"", ""Information Security"", ""Incident Response"", ""Cloud Security""]","[""חוסן"", ""מקצועיות"", ""למידה עצמית"", ""הובלה לתוצאות"", ""צוות""]"
24,,70000508,מיישם סייבר,SIEM/SOAR Implementer (Splunk/Sentinel),"[""Cyber Defense Fundamentals"", ""Information Security"", ""Incident Response"", ""Cloud Security""]","[""חוסן"", ""מקצועיות"", ""למידה וחשיבה"", ""צוות""]"
25,,70000509,מנהל מחסן ממוחשב,WMS Warehouse Operations Lead,"[""Procurement & Inventory"", ""Supply Chain Management"", ""Customer Service Operations""]","[""מנהיגות"", ""ניהול זמן""]"
26,,70000509,מנהל מחסן ממוחשב,E-commerce Logistics Manager,"[""Procurement & Inventory"", ""Supply Chain Management"", ""Customer Service Operations""]","[""מנהיגות"", ""ניהול זמן"", ""תפקוד בין אישי""]"
27,,70000509,מנהל מחסן ממוחשב,Inventory & Supply Chain Lead,"[""Procurement & Inventory"", ""Supply Chain Management"", ""Customer Service Operations"", ""Excel""]","[""מנהיגות"", ""ניהול זמן"", ""אנליטיקה""]"
28,,70000510,קניין רכש טכני,IT Procurement Specialist,"[""Procurement & Inventory"", ""Business Operations"", ""Budgeting & Financial Control""]","[""ניהול ממשקים"", ""אנליטיקה""]"
29,,70000510,קניין רכש טכני,Engineering Procurement Specialist,"[""Procurement & Inventory"", ""Business Operations"", ""Budgeting & Financial Control""]","[""ניהול ממשקים"", ""אנליטיקה"", ""צוות""]"
30,,70000510,קניין רכש טכני,Services Procurement Lead,"[""Procurement & Inventory"", ""Business Operations"", ""Budgeting & Financial Control"", ""Customer Service Operations""]","[""ניהול ממשקים"", ""אנליטיקה"", ""תקשורת""]"
31,,70000511,מהנדס מכונות,Mechanical Design Engineer – SolidWorks,"[""Organizational Processes"", ""Training Development"", ""Business Operations""]","[""למידה וחשיבה"", ""צוות"", ""יצירתיות""]"
32,,70000511,מהנדס מכונות,Manufacturing Engineer – production lines,"[""Organizational Processes"", ""Training Development"", ""Business Operations""]","[""למידה וחשיבה"", ""צוות"", ""יצירתיות""]"
33,,70000511,מהנדס מכונות,Project Engineer – materials & integration,"[""Organizational Processes"", ""Training Development"", ""Business Operations""]","[""למידה וחשיבה"", ""צוות"", ""יצירתיות"", ""הובלה לתוצאות"", ""תקשורת"", ""ניהול זמן""]"
34,,70000512,מהנדס חשמל ובקרה,PLC Control Engineer – Siemens/AB,"[""Project Management"", ""Risk Management"", ""Business Operations""]","[""אנליטיקה""]"
35,,70000512,מהנדס חשמל ובקרה,High Voltage Electrical Engineer,"[""Project Management"", ""Risk Management"", ""Business Operations""]","[""אנליטיקה""]"
36,,70000512,מהנדס חשמל ובקרה,Embedded RT Control Engineer,"[""Project Management"", ""Risk Management"", ""Business Operations"", ""Software Architecture Fundamentals""]","[""אנליטיקה"", ""למידה וחשיבה""]"
37,,70000513,מנהל תיקי לקוחות,Enterprise Account Manager,"[""Customer Service Operations"", ""Business Operations"", ""KPI Analysis""]","[""ניהול ממשקים"", ""תכנון וראיה אינטגרטיבית""]"
38,,70000513,מנהל תיקי לקוחות,SaaS Account Manager,"[""Customer Service Operations"", ""Business Operations"", ""KPI Analysis""]","[""ניהול ממשקים""]"
39,,70000513,מנהל תיקי לקוחות,SMB Account Manager,"[""Customer Service Operations"", ""Business Operations"", ""KPI Analysis""]","[""ניהול ממשקים"", ""חוסן""]"
40,,70000514,מנהלת משרד ועוזרת אישית,Executive PA – CEO Support,"[""Business Operations"", ""Organizational Processes""]","[""תפקוד בין אישי"", ""חוסן""]"
41,,70000514,מנהלת משרד ועוזרת אישית,Office Operations Manager,"[""Business Operations"", ""Organizational Processes"", ""Budgeting & Financial Control""]","[""תפקוד בין אישי"", ""למידה וחשיבה""]"
42,,70000514,מנהלת משרד ועוזרת אישית,HR Admin & Employee Experience,"[""Business Operations"", ""Organizational Processes"", ""Training Development""]","[""תפקוד בין אישי"", ""מקצועיות""]"
43,,70000515,"עו""ד ומזכיר חברה",Corporate Secretary – Governance & Boards,"[""Business Operations"", ""Organizational Processes"", ""Technical Writing""]","[""מקצועיות""]"
44,,70000515,"עו""ד ומזכיר חברה",Commercial Lawyer – Contracts,"[""Business Operations"", ""Organizational Processes"", ""Technical Writing""]","[""מקצועיות"", ""אנליטיקה""]"
45,,70000515,"עו""ד ומזכיר חברה",Labor Law Attorney – HR Support,"[""Business Operations"", ""Organizational Processes""]","[""מקצועיות"", ""תפקוד בין אישי"", ""חוסן""]"
46,,70000516,בודק תוכנה ידני/אוטומציה,Manual QA – Functional & UAT,"[""Frontend Development"", ""Backend Development"", ""Full Stack Development""]","[""למידה וחשיבה"", ""מקצועיות""]"
47,,70000516,בודק תוכנה ידני/אוטומציה,Automation QA – Selenium/Cypress,"[""Frontend Development"", ""Backend Development"", ""Full Stack Development""]","[""למידה וחשיבה"", ""מקצועיות"", ""תכנון וראיה אינטגרטיבית""]"
48,,70000516,בודק תוכנה ידני/אוטומציה,Product QA – customer experience,"[""Frontend Development"", ""Backend Development"", ""Full Stack Development"", ""UX Writing Basics""]","[""למידה וחשיבה"", ""מקצועיות"", ""תפקוד בין אישי"", ""תקשורת""]"
49,,70000517,חשב שכר בכיר,Private Sector Payroll Expert,"[""Budgeting & Financial Control"", ""Business Operations"", ""Excel Advanced"", ""Excel""]","[""מקצועיות"", ""חוסן"", ""ניהול זמן""]"
50,,70000517,חשב שכר בכיר,Public Sector Payroll Specialist,"[""Budgeting & Financial Control"", ""Business Operations"", ""Excel Advanced""]","[""מקצועיות"", ""חוסן""]"
51,,70000517,חשב שכר בכיר,Tech Payroll & HRIS Specialist,"[""Budgeting & Financial Control"", ""Business Operations"", ""Excel Advanced""]","[""מקצועיות"", ""חוסן"", ""אנליטיקה"", ""צוות""]"
52,,70000518,"מהנדס או""ש (שיטות)",Process Analyst – BPMN Mapping,"[""Organizational Processes"", ""Business Operations"", ""KPI Analysis"", ""Training Development""]","[""תכנון וראיה אינטגרטיבית"", ""הובלה לתוצאות""]"
53,,70000518,"מהנדס או""ש (שיטות)",Continuous Improvement Project Lead,"[""Organizational Processes"", ""Business Operations"", ""KPI Analysis""]","[""תכנון וראיה אינטגרטיבית"", ""הובלה לתוצאות""]"
54,,70000518,"מהנדס או""ש (שיטות)",Industrial Engineer – production optimization,"[""Organizational Processes"", ""Business Operations"", ""KPI Analysis"", ""Data Analysis""]","[""תכנון וראיה אינטגרטיבית"", ""הובלה לתוצאות"", ""אנליטיקה"", ""למידה וחשיבה"", ""צוות""]"
55,,70000519,מעצב UX/UI,UX Research Specialist,"[""UX Writing Basics"", ""Digital Content Production""]","[""תפקוד בין אישי"", ""יצירתיות"", ""צוות"", ""למידה וחשיבה""]"
56,,70000519,מעצב UX/UI,UI Designer – Design System,"[""UX Writing Basics"", ""Digital Content Production""]","[""תפקוד בין אישי"", ""יצירתיות"", ""צוות"", ""מקצועיות""]"
57,,70000519,מעצב UX/UI,Product Designer – E2E flows,"[""UX Writing Basics"", ""Digital Content Production""]","[""תפקוד בין אישי"", ""יצירתיות"", ""צוות"", ""תקשורת""]"
58,,70000520,מנהל צוות שירות,Call Center Team Lead – SLA Focus,"[""Customer Service Operations"", ""KPI Analysis""]","[""מנהיגות"", ""פיתוח עובדים""]"
59,,70000520,מנהל צוות שירות,Technical Support Team Lead,"[""Customer Service Operations"", ""KPI Analysis""]","[""מנהיגות"", ""פיתוח עובדים"", ""תפקוד בין אישי""]"
60,,70000520,מנהל צוות שירות,Customer Experience Leader (VoC),"[""Customer Service Operations"", ""KPI Analysis""]","[""מנהיגות"", ""פיתוח עובדים"", ""תפקוד בין אישי"", ""תקשורת""]"
