profile_id,position_id,position_name,profile_name,hard_skills,soft_skills,description
11,70000504,רכזת גיוס טכנולוגי,"Cyber Recruiter – SOC, DFIR","[{""skill"": ""Talent Acquisition"", ""level"": 1}, {""skill"": ""Interview Management"", ""level"": 3}, {""skill"": ""Job Profiling"", ""level"": 1}, {""skill"": ""Threat Analysis"", ""level"": 1}]","[{""skill"": ""תפקוד בין אישי"", ""level"": 1}, {""skill"": ""תקשורת"", ""level"": 1}, {""skill"": ""ניהול ממשקים"", ""level"": 1}, {""skill"": ""למידה וחשיבה"", ""level"": 1}, {""skill"": ""חוסן"", ""level"": 1}]","פרופיל 'Cyber Recruiter – SOC, DFIR' כולל התמחות במיומנויות כגון Talent Acquisition, Interview Management, Job Profiling, לצד מיומנויות רכות כמו תפקוד בין אישי, תקשורת. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
12,70000504,רכזת גיוס טכנולוגי,Data Recruiting Specialist,"[{""skill"": ""Talent Acquisition"", ""level"": 1}, {""skill"": ""Interview Management"", ""level"": 1}, {""skill"": ""Job Profiling"", ""level"": 1}]","[{""skill"": ""תפקוד בין אישי"", ""level"": 1}, {""skill"": ""תקשורת"", ""level"": 1}, {""skill"": ""ניהול ממשקים"", ""level"": 1}, {""skill"": ""אנליטיקה"", ""level"": 1}]","פרופיל 'Data Recruiting Specialist' כולל התמחות במיומנויות כגון Talent Acquisition, Interview Management, Job Profiling, לצד מיומנויות רכות כמו תפקוד בין אישי, תקשורת. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
13,70000505,כלכלן תקציב ובקרה,FP&A Economist – forecasts & models,"[{""skill"": ""Budgeting & Financial Control"", ""level"": 1}, {""skill"": ""Data Analysis"", ""level"": 1}, {""skill"": ""Excel Advanced"", ""level"": 1}]","[{""skill"": ""אנליטיקה"", ""level"": 1}, {""skill"": ""מקצועיות"", ""level"": 1}, {""skill"": ""תכנון וראיה אינטגרטיבית"", ""level"": 1}]","פרופיל 'FP&A Economist – forecasts & models' כולל התמחות במיומנויות כגון Budgeting & Financial Control, Data Analysis, Excel Advanced, לצד מיומנויות רכות כמו אנליטיקה, מקצועיות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
14,70000505,כלכלן תקציב ובקרה,Budget Control Analyst – monthly tracking,"[{""skill"": ""Budgeting & Financial Control"", ""level"": 1}, {""skill"": ""Data Analysis"", ""level"": 4}, {""skill"": ""Excel Advanced"", ""level"": 4}]","[{""skill"": ""אנליטיקה"", ""level"": 1}, {""skill"": ""מקצועיות"", ""level"": 1}]","פרופיל 'Budget Control Analyst – monthly tracking' כולל התמחות במיומנויות כגון Budgeting & Financial Control, Data Analysis, Excel Advanced, לצד מיומנויות רכות כמו אנליטיקה, מקצועיות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
15,70000505,כלכלן תקציב ובקרה,Cost Accountant – product pricing,"[{""skill"": ""Budgeting & Financial Control"", ""level"": 1}, {""skill"": ""Data Analysis"", ""level"": 1}, {""skill"": ""Excel Advanced"", ""level"": 1}]","[{""skill"": ""אנליטיקה"", ""level"": 1}, {""skill"": ""מקצועיות"", ""level"": 1}, {""skill"": ""למידה וחשיבה"", ""level"": 1}, {""skill"": ""הובלה לתוצאות"", ""level"": 1}]","פרופיל 'Cost Accountant – product pricing' כולל התמחות במיומנויות כגון Budgeting & Financial Control, Data Analysis, Excel Advanced, לצד מיומנויות רכות כמו אנליטיקה, מקצועיות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
16,70000506,מנהל שיווק דיגיטלי,Performance PPC Manager,"[{""skill"": ""Copywriting"", ""level"": 1}, {""skill"": ""Customer Service Operations"", ""level"": 1}, {""skill"": ""Excel"", ""level"": 1}]","[{""skill"": ""יצירתיות"", ""level"": 1}, {""skill"": ""צוות"", ""level"": 1}]","פרופיל 'Performance PPC Manager' כולל התמחות במיומנויות כגון Copywriting, Customer Service Operations, Excel, לצד מיומנויות רכות כמו יצירתיות, צוות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
17,70000506,מנהל שיווק דיגיטלי,Growth Marketer – CRO & Funnels,"[{""skill"": ""Copywriting"", ""level"": 1}, {""skill"": ""Customer Service Operations"", ""level"": 1}, {""skill"": ""Excel"", ""level"": 1}, {""skill"": ""Data Analysis"", ""level"": 1}]","[{""skill"": ""יצירתיות"", ""level"": 1}, {""skill"": ""צוות"", ""level"": 1}, {""skill"": ""למידה וחשיבה"", ""level"": 1}]","פרופיל 'Growth Marketer – CRO & Funnels' כולל התמחות במיומנויות כגון Copywriting, Customer Service Operations, Excel, לצד מיומנויות רכות כמו יצירתיות, צוות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
18,70000506,מנהל שיווק דיגיטלי,Social Media & Community Lead,"[{""skill"": ""Copywriting"", ""level"": 1}, {""skill"": ""Customer Service Operations"", ""level"": 1}, {""skill"": ""Excel"", ""level"": 1}, {""skill"": ""Digital Content Production"", ""level"": 1}]","[{""skill"": ""יצירתיות"", ""level"": 1}, {""skill"": ""צוות"", ""level"": 1}, {""skill"": ""תפקוד בין אישי"", ""level"": 1}]","פרופיל 'Social Media & Community Lead' כולל התמחות במיומנויות כגון Copywriting, Customer Service Operations, Excel, לצד מיומנויות רכות כמו יצירתיות, צוות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
19,70000507,איש System / IT,Windows/AD/Exchange Specialist,"[{""skill"": ""Backend Development"", ""level"": 1}, {""skill"": ""Network Fundamentals"", ""level"": 1}, {""skill"": ""Cloud Computing Foundations"", ""level"": 1}, {""skill"": ""Virtualization"", ""level"": 1}]","[{""skill"": ""תפקוד בין אישי"", ""level"": 1}, {""skill"": ""למידה וחשיבה"", ""level"": 1}]","פרופיל 'Windows/AD/Exchange Specialist' כולל התמחות במיומנויות כגון Backend Development, Network Fundamentals, Cloud Computing Foundations, לצד מיומנויות רכות כמו תפקוד בין אישי, למידה וחשיבה. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
20,70000507,איש System / IT,Linux + Networking Engineer,"[{""skill"": ""Backend Development"", ""level"": 1}, {""skill"": ""Network Fundamentals"", ""level"": 1}, {""skill"": ""Cloud Computing Foundations"", ""level"": 1}, {""skill"": ""Virtualization"", ""level"": 1}]","[{""skill"": ""תפקוד בין אישי"", ""level"": 1}, {""skill"": ""למידה וחשיבה"", ""level"": 1}, {""skill"": ""למידה עצמית"", ""level"": 1}]","פרופיל 'Linux + Networking Engineer' כולל התמחות במיומנויות כגון Backend Development, Network Fundamentals, Cloud Computing Foundations, לצד מיומנויות רכות כמו תפקוד בין אישי, למידה וחשיבה. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
21,70000507,איש System / IT,Tier2/3 IT Support Specialist,"[{""skill"": ""Backend Development"", ""level"": 1}, {""skill"": ""Network Fundamentals"", ""level"": 1}, {""skill"": ""Cloud Computing Foundations"", ""level"": 1}, {""skill"": ""Virtualization"", ""level"": 1}, {""skill"": ""Customer Service Operations"", ""level"": 4}, {""skill"": ""Business Operations"", ""level"": 1}]","[{""skill"": ""תפקוד בין אישי"", ""level"": 1}, {""skill"": ""למידה וחשיבה"", ""level"": 1}, {""skill"": ""תקשורת"", ""level"": 1}]","פרופיל 'Tier2/3 IT Support Specialist' כולל התמחות במיומנויות כגון Backend Development, Network Fundamentals, Cloud Computing Foundations, לצד מיומנויות רכות כמו תפקוד בין אישי, למידה וחשיבה. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
22,70000508,מיישם סייבר,Network Security Implementer,"[{""skill"": ""Cyber Defense Fundamentals"", ""level"": 4}, {""skill"": ""Information Security"", ""level"": 1}, {""skill"": ""Incident Response"", ""level"": 3}, {""skill"": ""Cloud Security"", ""level"": 1}, {""skill"": ""Network Fundamentals"", ""level"": 3}]","[{""skill"": ""חוסן"", ""level"": 1}, {""skill"": ""מקצועיות"", ""level"": 1}]","פרופיל 'Network Security Implementer' כולל התמחות במיומנויות כגון Cyber Defense Fundamentals, Information Security, Incident Response, לצד מיומנויות רכות כמו חוסן, מקצועיות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
23,70000508,מיישם סייבר,Cloud Security Implementer (AWS/GCP),"[{""skill"": ""Cyber Defense Fundamentals"", ""level"": 4}, {""skill"": ""Information Security"", ""level"": 5}, {""skill"": ""Incident Response"", ""level"": 3}, {""skill"": ""Cloud Security"", ""level"": 5}]","[{""skill"": ""חוסן"", ""level"": 1}, {""skill"": ""מקצועיות"", ""level"": 1}, {""skill"": ""למידה עצמית"", ""level"": 1}, {""skill"": ""הובלה לתוצאות"", ""level"": 1}, {""skill"": ""צוות"", ""level"": 1}]","פרופיל 'Cloud Security Implementer (AWS/GCP)' כולל התמחות במיומנויות כגון Cyber Defense Fundamentals, Information Security, Incident Response, לצד מיומנויות רכות כמו חוסן, מקצועיות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
24,70000508,מיישם סייבר,SIEM/SOAR Implementer (Splunk/Sentinel),"[{""skill"": ""Cyber Defense Fundamentals"", ""level"": 1}, {""skill"": ""Information Security"", ""level"": 1}, {""skill"": ""Incident Response"", ""level"": 1}, {""skill"": ""Cloud Security"", ""level"": 1}]","[{""skill"": ""חוסן"", ""level"": 1}, {""skill"": ""מקצועיות"", ""level"": 1}, {""skill"": ""למידה וחשיבה"", ""level"": 1}, {""skill"": ""צוות"", ""level"": 1}]","פרופיל 'SIEM/SOAR Implementer (Splunk/Sentinel)' כולל התמחות במיומנויות כגון Cyber Defense Fundamentals, Information Security, Incident Response, לצד מיומנויות רכות כמו חוסן, מקצועיות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
25,70000509,מנהל מחסן ממוחשב,WMS Warehouse Operations Lead,"[{""skill"": ""Procurement & Inventory"", ""level"": 4}, {""skill"": ""Supply Chain Management"", ""level"": 1}, {""skill"": ""Customer Service Operations"", ""level"": 1}]","[{""skill"": ""מנהיגות"", ""level"": 1}, {""skill"": ""ניהול זמן"", ""level"": 1}]","פרופיל 'WMS Warehouse Operations Lead' כולל התמחות במיומנויות כגון Procurement & Inventory, Supply Chain Management, Customer Service Operations, לצד מיומנויות רכות כמו מנהיגות, ניהול זמן. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
26,70000509,מנהל מחסן ממוחשב,E-commerce Logistics Manager,"[{""skill"": ""Procurement & Inventory"", ""level"": 1}, {""skill"": ""Supply Chain Management"", ""level"": 1}, {""skill"": ""Customer Service Operations"", ""level"": 1}]","[{""skill"": ""מנהיגות"", ""level"": 1}, {""skill"": ""ניהול זמן"", ""level"": 1}, {""skill"": ""תפקוד בין אישי"", ""level"": 1}]","פרופיל 'E-commerce Logistics Manager' כולל התמחות במיומנויות כגון Procurement & Inventory, Supply Chain Management, Customer Service Operations, לצד מיומנויות רכות כמו מנהיגות, ניהול זמן. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
27,70000509,מנהל מחסן ממוחשב,Inventory & Supply Chain Lead,"[{""skill"": ""Procurement & Inventory"", ""level"": 1}, {""skill"": ""Supply Chain Management"", ""level"": 1}, {""skill"": ""Customer Service Operations"", ""level"": 1}, {""skill"": ""Excel"", ""level"": 1}]","[{""skill"": ""מנהיגות"", ""level"": 1}, {""skill"": ""ניהול זמן"", ""level"": 1}, {""skill"": ""אנליטיקה"", ""level"": 1}]","פרופיל 'Inventory & Supply Chain Lead' כולל התמחות במיומנויות כגון Procurement & Inventory, Supply Chain Management, Customer Service Operations, לצד מיומנויות רכות כמו מנהיגות, ניהול זמן. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
28,70000510,קניין רכש טכני,IT Procurement Specialist,"[{""skill"": ""Procurement & Inventory"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 1}, {""skill"": ""Budgeting & Financial Control"", ""level"": 1}]","[{""skill"": ""ניהול ממשקים"", ""level"": 1}, {""skill"": ""אנליטיקה"", ""level"": 1}]","פרופיל 'IT Procurement Specialist' כולל התמחות במיומנויות כגון Procurement & Inventory, Business Operations, Budgeting & Financial Control, לצד מיומנויות רכות כמו ניהול ממשקים, אנליטיקה. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
29,70000510,קניין רכש טכני,Engineering Procurement Specialist,"[{""skill"": ""Procurement & Inventory"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 1}, {""skill"": ""Budgeting & Financial Control"", ""level"": 1}]","[{""skill"": ""ניהול ממשקים"", ""level"": 1}, {""skill"": ""אנליטיקה"", ""level"": 1}, {""skill"": ""צוות"", ""level"": 1}]","פרופיל 'Engineering Procurement Specialist' כולל התמחות במיומנויות כגון Procurement & Inventory, Business Operations, Budgeting & Financial Control, לצד מיומנויות רכות כמו ניהול ממשקים, אנליטיקה. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
30,70000510,קניין רכש טכני,Services Procurement Lead,"[{""skill"": ""Procurement & Inventory"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 1}, {""skill"": ""Budgeting & Financial Control"", ""level"": 1}, {""skill"": ""Customer Service Operations"", ""level"": 1}]","[{""skill"": ""ניהול ממשקים"", ""level"": 1}, {""skill"": ""אנליטיקה"", ""level"": 1}, {""skill"": ""תקשורת"", ""level"": 1}]","פרופיל 'Services Procurement Lead' כולל התמחות במיומנויות כגון Procurement & Inventory, Business Operations, Budgeting & Financial Control, לצד מיומנויות רכות כמו ניהול ממשקים, אנליטיקה. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
31,70000511,מהנדס מכונות,Mechanical Design Engineer – SolidWorks,"[{""skill"": ""Organizational Processes"", ""level"": 1}, {""skill"": ""Training Development"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 1}]","[{""skill"": ""למידה וחשיבה"", ""level"": 1}, {""skill"": ""צוות"", ""level"": 1}, {""skill"": ""יצירתיות"", ""level"": 1}]","פרופיל 'Mechanical Design Engineer – SolidWorks' כולל התמחות במיומנויות כגון Organizational Processes, Training Development, Business Operations, לצד מיומנויות רכות כמו למידה וחשיבה, צוות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
32,70000511,מהנדס מכונות,Manufacturing Engineer – production lines,"[{""skill"": ""Organizational Processes"", ""level"": 1}, {""skill"": ""Training Development"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 1}]","[{""skill"": ""למידה וחשיבה"", ""level"": 1}, {""skill"": ""צוות"", ""level"": 1}, {""skill"": ""יצירתיות"", ""level"": 1}]","פרופיל 'Manufacturing Engineer – production lines' כולל התמחות במיומנויות כגון Organizational Processes, Training Development, Business Operations, לצד מיומנויות רכות כמו למידה וחשיבה, צוות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
33,70000511,מהנדס מכונות,Project Engineer – materials & integration,"[{""skill"": ""Organizational Processes"", ""level"": 1}, {""skill"": ""Training Development"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 1}]","[{""skill"": ""למידה וחשיבה"", ""level"": 1}, {""skill"": ""צוות"", ""level"": 1}, {""skill"": ""יצירתיות"", ""level"": 1}, {""skill"": ""הובלה לתוצאות"", ""level"": 1}, {""skill"": ""תקשורת"", ""level"": 1}, {""skill"": ""ניהול זמן"", ""level"": 1}]","פרופיל 'Project Engineer – materials & integration' כולל התמחות במיומנויות כגון Organizational Processes, Training Development, Business Operations, לצד מיומנויות רכות כמו למידה וחשיבה, צוות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
34,70000512,מהנדס חשמל ובקרה,PLC Control Engineer – Siemens/AB,"[{""skill"": ""Project Management"", ""level"": 1}, {""skill"": ""Risk Management"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 1}]","[{""skill"": ""אנליטיקה"", ""level"": 1}]","פרופיל 'PLC Control Engineer – Siemens/AB' כולל התמחות במיומנויות כגון Project Management, Risk Management, Business Operations, לצד מיומנויות רכות כמו אנליטיקה. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
35,70000512,מהנדס חשמל ובקרה,High Voltage Electrical Engineer,"[{""skill"": ""Project Management"", ""level"": 1}, {""skill"": ""Risk Management"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 1}]","[{""skill"": ""אנליטיקה"", ""level"": 1}]","פרופיל 'High Voltage Electrical Engineer' כולל התמחות במיומנויות כגון Project Management, Risk Management, Business Operations, לצד מיומנויות רכות כמו אנליטיקה. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
36,70000512,מהנדס חשמל ובקרה,Embedded RT Control Engineer,"[{""skill"": ""Project Management"", ""level"": 1}, {""skill"": ""Risk Management"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 1}, {""skill"": ""Software Architecture Fundamentals"", ""level"": 1}]","[{""skill"": ""אנליטיקה"", ""level"": 1}, {""skill"": ""למידה וחשיבה"", ""level"": 1}]","פרופיל 'Embedded RT Control Engineer' כולל התמחות במיומנויות כגון Project Management, Risk Management, Business Operations, לצד מיומנויות רכות כמו אנליטיקה, למידה וחשיבה. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
37,70000513,מנהל תיקי לקוחות,Enterprise Account Manager,"[{""skill"": ""Customer Service Operations"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 1}, {""skill"": ""KPI Analysis"", ""level"": 4}]","[{""skill"": ""ניהול ממשקים"", ""level"": 1}, {""skill"": ""תכנון וראיה אינטגרטיבית"", ""level"": 1}]","פרופיל 'Enterprise Account Manager' כולל התמחות במיומנויות כגון Customer Service Operations, Business Operations, KPI Analysis, לצד מיומנויות רכות כמו ניהול ממשקים, תכנון וראיה אינטגרטיבית. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
38,70000513,מנהל תיקי לקוחות,SaaS Account Manager,"[{""skill"": ""Customer Service Operations"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 1}, {""skill"": ""KPI Analysis"", ""level"": 4}]","[{""skill"": ""ניהול ממשקים"", ""level"": 1}]","פרופיל 'SaaS Account Manager' כולל התמחות במיומנויות כגון Customer Service Operations, Business Operations, KPI Analysis, לצד מיומנויות רכות כמו ניהול ממשקים. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
39,70000513,מנהל תיקי לקוחות,SMB Account Manager,"[{""skill"": ""Customer Service Operations"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 1}, {""skill"": ""KPI Analysis"", ""level"": 4}]","[{""skill"": ""ניהול ממשקים"", ""level"": 1}, {""skill"": ""חוסן"", ""level"": 1}]","פרופיל 'SMB Account Manager' כולל התמחות במיומנויות כגון Customer Service Operations, Business Operations, KPI Analysis, לצד מיומנויות רכות כמו ניהול ממשקים, חוסן. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
40,70000514,מנהלת משרד ועוזרת אישית,Executive PA – CEO Support,"[{""skill"": ""Business Operations"", ""level"": 1}, {""skill"": ""Organizational Processes"", ""level"": 1}]","[{""skill"": ""תפקוד בין אישי"", ""level"": 1}, {""skill"": ""חוסן"", ""level"": 1}]","פרופיל 'Executive PA – CEO Support' כולל התמחות במיומנויות כגון Business Operations, Organizational Processes, לצד מיומנויות רכות כמו תפקוד בין אישי, חוסן. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
